,Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species,rand1,rand2,rand4,rand5,rand6
1,5.1,3.5,1.4,0.2,setosa,7.08418504334986,906,99.762788860442,5.963945678219,1.80699029149361
2,4.9,3,1.4,0.2,setosa,9.57592183491215,43,87.3274835576701,7.194621254193,1.87348908229453
3,4.7,3.2,1.3,0.2,setosa,9.4533344428055,351,104.621793523118,4.40773206278012,0.803832837307769
4,4.6,3.1,1.5,0.2,setosa,6.15045897429809,898,79.5489460359502,3.78678368746184,1.06030184197141
5,5,3.6,1.4,0.2,setosa,0.221911917906255,396,73.4373358066589,4.88374328885301,2.13681343447702
6,5.4,3.9,1.7,0.4,setosa,0.179027498234063,732,82.0711306060906,4.77284630238509,2.49101811359984
7,4.6,3.4,1.4,0.3,setosa,0.57807550067082,373,79.3809633562588,4.78036142204126,1.95087985351646
8,5,3.4,1.5,0.2,setosa,6.77009435603395,529,36.5781947695586,4.88077761080278,1.31037749131002
9,4.4,2.9,1.4,0.2,setosa,4.01206031441689,792,94.0940173383197,2.66536938763881,1.58844742571991
10,4.9,3.1,1.5,0.1,setosa,4.96487486641854,820,108.652281204022,3.95745726306225,0.928943373266885
11,5.4,3.7,1.5,0.2,setosa,4.05096726492047,937,62.6208511435977,4.91891260706096,2.36543775672973
12,4.8,3.4,1.6,0.2,setosa,9.05033481074497,149,108.632640147125,5.09971048576301,1.0783110482116
13,4.8,3,1.4,0.1,setosa,6.89512085402384,98,102.615565563601,5.64263736037302,0.577453961781344
14,4.3,3,1.1,0.1,setosa,9.70810977276415,109,60.3128053315568,2.99869904341442,1.04386247597698
15,5.8,4,1.2,0.2,setosa,0.931985445786268,912,114.82764679925,3.35688970876171,1.03613693797527
16,5.7,4.4,1.5,0.4,setosa,5.43734314152971,260,72.6955530576524,8.46134410763157,3.10468162139651
17,5.4,3.9,1.3,0.4,setosa,4.92562216939405,174,87.3343681749922,4.67614866758836,3.38332168558893
18,5.1,3.5,1.4,0.3,setosa,5.92373963911086,819,74.9945176594343,5.26677506865352,2.12259489694353
19,5.7,3.8,1.7,0.3,setosa,0.203513745218515,907,99.1833344167688,5.2943793901418,2.04158008604699
20,5.1,3.8,1.5,0.3,setosa,5.19173777429387,886,72.8355652776612,4.14892834121774,2.99663992400531
21,5.4,3.4,1.7,0.2,setosa,6.51511201635003,203,48.751194944824,6.55376817550751,1.37272841160713
22,5.1,3.7,1.5,0.4,setosa,7.59102825541049,593,106.77079878061,5.78526587888804,2.06498898802452
23,4.6,3.6,1,0.2,setosa,6.14236993947998,861,67.5427450838112,8.76480337498878,0.963598014652471
24,5.1,3.3,1.7,0.5,setosa,2.67445825506002,717,87.5785991839402,3.89003996058461,3.63568859250193
25,4.8,3.4,1.9,0.2,setosa,5.22455626865849,397,39.267853761023,7.00765202867383,4.19232723320445
26,5,3,1.6,0.2,setosa,6.10978550743312,599,110.755750340253,3.71662193523952,3.30515494185471
27,5,3.4,1.6,0.4,setosa,1.58307104138657,126,48.3019625251774,5.16018730581017,2.57964330245189
28,5.2,3.5,1.5,0.2,setosa,8.09197361115366,596,76.9707897646257,5.30452474581003,1.826386231303
29,5.2,3.4,1.4,0.2,setosa,8.86540273437276,561,94.1035778540563,4.24170364065225,1.69813293615853
30,4.7,3.2,1.6,0.2,setosa,8.968683432322,122,91.3589189771033,2.7063621661446,0.961574542427579
31,4.8,3.1,1.6,0.2,setosa,2.93846357613802,855,101.428111605329,3.23511463486446,2.54291900788934
32,5.4,3.4,1.5,0.4,setosa,1.01485324092209,151,75.3731411180209,3.20429841372043,2.80615665489003
33,5.2,4.1,1.5,0.1,setosa,6.62012038286775,622,37.4302437032642,8.39894044137751,0.476901110688258
34,5.5,4.2,1.4,0.2,setosa,2.43990752380341,273,93.4479606477874,5.93567608342354,0.871351179764736
35,4.9,3.1,1.5,0.2,setosa,0.0570260593667626,287,60.7347661160566,5.66663906014009,1.44996888556406
36,5,3.2,1.2,0.2,setosa,4.98164222110063,802,88.0418682248532,3.08894322565434,1.53935762535838
37,5.5,3.5,1.3,0.2,setosa,8.27919509494677,578,89.5738032916125,6.50142516541218,1.6481975715588
38,4.9,3.6,1.4,0.1,setosa,5.05384937860072,658,25.8232430268542,4.13425829648797,0.88487551322799
39,4.4,3,1.3,0.2,setosa,1.53974471613765,724,54.8354892854736,4.14188113678603,1.43969726298704
40,5.1,3.4,1.5,0.2,setosa,7.39922060165554,959,81.4746622822623,4.20393242831134,1.43646333989102
41,5,3.5,1.3,0.3,setosa,3.38528226129711,445,139.164442549256,13.1085855092183,1.87631893650634
42,4.5,2.3,1.3,0.3,setosa,7.26332728518173,136,48.7624444141303,4.42788067306987,2.21450466367316
43,4.4,3.2,1.3,0.2,setosa,7.81440135557204,455,92.1087577673785,2.4103635654816,0.91604655831996
44,5,3.5,1.6,0.6,setosa,6.53989306883886,560,65.6997984070043,5.80155479382511,7.44048576652376
45,5.1,3.8,1.9,0.4,setosa,0.25509805418551,601,77.2711565515767,5.65013204972314,3.06389479481367
46,4.8,3,1.4,0.3,setosa,9.12122358800843,461,49.0068619754485,3.47373110119217,2.22449488530783
