x,y,z
3.1e-05,0.000183,0.000824
0.044495,0.155732,0.533939
0.82244,0.873416,0.838542
0.322291,0.648545,0.990648
0.393595,0.826873,0.418881
0.309097,0.92659,0.777664
0.826368,0.30854,0.413932
0.729424,0.741526,0.884338
0.317649,0.393468,0.501968
0.599793,0.846041,0.678107
0.647603,0.281525,0.860718
0.547048,0.94879,0.769314
0.529873,0.348011,0.319211
0.90804,0.013456,0.90838
0.835195,0.814513,0.370327
0.068696,0.275943,0.037394
0.984329,0.927687,0.707165
0.945783,0.689675,0.626002
0.017137,0.166494,0.844727
0.772506,0.282393,0.741801
0.49308,0.943686,0.224398
0.919386,0.618783,0.438229
0.964342,0.025198,0.47211
0.864672,0.711721,0.488282
0.786249,0.961377,0.692023
0.123862,0.810826,0.750198
0.990535,0.706806,0.326013
0.455714,0.020492,0.021528
0.345516,0.800801,0.695158
0.482433,0.160464,0.620887
0.0631,0.488463,0.36288
0.494563,0.180498,0.631916
0.386052,0.482467,0.420333
0.156384,0.276557,0.251881
0.99985,0.198618,0.193051
0.585455,0.129442,0.507559
0.361887,0.743469,0.203826
0.350248,0.897698,0.233957
0.126752,0.190162,0.000203
0.812634,0.245063,0.156666
0.369723,0.248908,0.165943
0.437286,0.268675,0.676477
0.771568,0.821389,0.984216
0.697878,0.217688,0.025225
0.826174,0.623633,0.306233
0.530293,0.852871,0.344595
0.968455,0.569763,0.702484
0.415824,0.696233,0.434983
0.793458,0.429293,0.434638
0.622709,0.75561,0.929275
0.748484,0.903503,0.684661
0.392119,0.082637,0.966753
0.32851,0.211696,0.313584
0.425048,0.233427,0.575129
0.391111,0.035974,0.695843
0.409372,0.849729,0.414026
0.230546,0.743487,0.386009
0.021631,0.664288,0.791052
0.011576,0.687896,0.023192
0.345928,0.75754,0.431892
0.562056,0.587138,0.464327
0.47264,0.353742,0.868689
0.859244,0.982364,0.16099
0.672445,0.343048,0.006286
0.31824,0.103248,0.75533
0.486482,0.552006,0.933698
0.701881,0.597679,0.269141
0.831292,0.05836,0.868532
0.619876,0.029152,0.596032
0.287463,0.057,0.754833
0.670872,0.302992,0.7801
0.623757,0.432338,0.98021
0.804632,0.752854,0.275437
0.803778,0.778307,0.435841
0.94237,0.001763,0.529245
0.730063,0.630651,0.213333
0.79181,0.407259,0.317265
0.300808,0.637073,0.115167
0.629387,0.408029,0.783687
0.487203,0.789276,0.350829
0.09553,0.909727,0.598596
0.584738,0.176853,0.798474
0.259822,0.480486,0.544515
0.049581,0.49643,0.532351
0.861351,0.071937,0.679465
0.901482,0.260386,0.448975
0.215425,0.739384,0.49748
0.057474,0.797941,0.27038
0.301331,0.90506,0.718384
