,Population,Income,Illiteracy,Life Exp,Murder,HS Grad,Frost,Area,rand1,rand2,rand4,rand5,rand6
Alabama,3615,3624,2.1,69.05,15.1,41.3,20,50708,3.21000383002684,502,30.0176965592406,6043.73223489018,316.627154071453
Alaska,365,6315,1.5,69.31,11.3,66.7,152,566432,9.82061004033312,793,87.8919938288521,12802.5197892597,392.120396254778
Arizona,2212,4530,1.8,70.55,7.8,58.1,15,113417,1.82493918575346,801,85.7403533904951,5045.87092678544,626.017890914731
Arkansas,2110,3378,1.9,70.66,10.1,39.9,65,51945,6.03043932467699,126,78.8280664464205,4301.09263926298,477.010931847641
California,21198,5114,1.1,71.71,10.3,62.6,20,156361,2.51141239190474,130,72.4474025343316,3836.98193055259,795.202871407004
Colorado,2541,4884,0.7,72.06,6.8,63.9,166,103766,4.83905582688749,269,71.9783678835383,6059.80314312568,497.55923904259
Connecticut,3100,5348,1.1,72.48,3.1,56,139,4862,9.70429392531514,964,89.6564417656665,6779.84403161818,352.929640241924
Delaware,579,4809,0.9,70.06,6.2,54.6,103,1982,8.44130048993975,386,65.586482441339,7348.94592888919,337.035980168043
Florida,8277,4815,1.3,70.66,10.7,52.6,11,54090,4.65910216793418,686,90.8210774409959,8959.21578731437,463.815669119277
Georgia,4931,4091,2,68.54,13.9,40.6,60,58073,7.72607019171119,936,57.33934157421,5010.56580665563,474.766359823599
Hawaii,868,4963,1.9,73.6,6.2,61.9,0,6425,7.6826280890964,557,45.1980866534424,6760.13222138386,722.73217594969
Idaho,813,4119,0.6,71.87,5.3,59.5,126,82677,7.84674644935876,524,97.5133524824117,4548.3786592057,560.706872645205
Illinois,11197,5107,0.9,70.14,10.3,52.6,127,55748,7.84547400427982,137,82.5994297948187,7698.21775609348,512.62805658671
Indiana,5313,4458,0.7,70.88,7.1,52.9,122,36097,8.13584196381271,575,66.7517902619579,6324.48973011017,554.482113309132
Iowa,2861,4628,0.5,72.56,2.3,59,140,55941,8.92807461554185,810,66.2587894201397,3643.08495797708,440.994939650763
Kansas,2280,4669,0.6,72.58,4.5,59.9,114,81787,0.0740057555958629,733,87.4480821755114,8912.2274322072,588.25398121776
Kentucky,3387,3712,1.6,70.1,10.6,38.5,95,39650,6.15064611658454,211,90.6890079330128,6840.95965230464,469.799507211922
